YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR
2017	12	30	2018	1	5	-0.0028	0.666082621	-0.260908846	0.0051
2018	1	5	2018	1	11	-0.0023	0.667041825	-0.260897122	0.0055
2018	1	11	2018	1	17	-0.0017	0.666041009	-0.260902603	0.0063
2018	1	17	2018	1	23	0.0041	0.667088297	-0.260908050	0.0039
2018	1	23	2018	1	29	-0.0011	0.666044937	-0.260901878	0.0056
2018	1	29	2018	2	4	0.0241	0.667044155	-0.260912975	0.0071
2018	2	4	2018	2	10	0.0029	0.666143208	-0.260906499	0.0058
2018	2	10	2018	2	16	0.0000	0.667001878	-0.260921406	0.0055
2018	2	16	2018	2	22	0.0028	0.666188149	-0.260923135	0.0044
2018	2	22	2018	2	28	-0.0090	0.667009534	-0.260918313	0.0054
2018	2	28	2018	3	6	0.0066	0.666169440	-0.260923772	0.0054
2018	3	6	2018	3	12	0.0001	0.667038629	-0.260901901	0.0059
2018	3	12	2018	3	18	0.0007	0.666090344	-0.260907772	0.0053
2018	3	18	2018	3	24	0.0015	0.667055607	-0.260902605	0.0054
2018	3	24	2018	3	30	-0.0042	0.666079159	-0.260897820	0.0022
2018	3	30	2018	4	5	0.0028	0.667120455	-0.260907866	0.0046
2018	4	5	2018	4	11	-0.0006	0.666140678	-0.260903338	0.0054
2018	4	11	2018	4	17	-0.0051	0.667019388	-0.260919863	0.0065
2018	4	17	2018	4	23	0.0133	0.666199467	-0.260912957	0.0059
2018	4	23	2018	4	29	-0.0060	0.666996152	-0.260901665	0.0067
2018	4	29	2018	5	5	-0.0039	0.666145072	-0.260912398	0.0065
2018	5	5	2018	5	11	0.0002	0.667106939	-0.260905256	0.0050
2018	5	11	2018	5	17	0.0091	0.666135485	-0.260905229	0.0065
2018	5	17	2018	5	23	0.0094	0.667105408	-0.260905205	0.0047
2018	5	23	2018	5	29	-0.0019	0.666116177	-0.260909389	0.0052
2018	5	29	2018	6	4	0.0083	0.667083903	-0.260911147	0.0025
2018	6	4	2018	6	10	-0.0148	0.666165512	-0.260903163	0.0029
2018	6	10	2018	6	16	0.0073	0.667039495	-0.260284489	0.0064
2018	6	16	2018	6	22	-0.0139	0.666173635	-0.260266690	0.0067
2018	6	22	2018	6	28	-0.0008	0.666971118	-0.260904979	0.0061
2018	6	28	2018	7	4	-0.0014	0.666106922	-0.260908302	0.0069
2018	7	4	2018	7	10	-0.0028	0.666997417	-0.260905014	0.0061
2018	7	10	2018	7	16	0.0062	0.666155059	-0.260912031	0.0063
2018	7	16	2018	7	22	-0.0128	0.667153744	-0.260904667	0.0044
2018	7	22	2018	7	28	0.0053	0.666094406	-0.260902442	0.0042
2018	7	28	2018	8	3	0.0022	0.667077312	-0.260897034	0.0039
2018	8	3	2018	8	9	-0.0007	0.666082688	-0.260898277	0.0063
2018	8	9	2018	8	15	0.0016	0.667077844	-0.260920783	0.0058
2018	8	15	2018	8	21	-0.0041	0.666197004	-0.260917605	0.0054
2018	8	21	2018	8	27	0.0050	0.667014395	-0.260916955	0.0057
2018	8	27	2018	9	2	-0.0016	0.666264648	-0.260912629	0.0048
2018	9	2	2018	9	8	0.0031	0.667005739	-0.260905869	0.0056
2018	9	8	2018	9	14	0.0099	0.666170039	-0.260912455	0.0057
2018	9	14	2018	9	20	-0.0002	0.667076446	-0.260898705	0.0066
2018	9	20	2018	9	26	-0.0020	0.666098933	-0.260906145	0.0037
2018	9	26	2018	10	2	0.0016	0.667182906	-0.260907168	0.0046
2018	10	2	2018	10	8	-0.0033	0.666064179	-0.260905033	0.0050
2018	10	8	2018	10	14	-0.0071	0.667164397	-0.260919003	0.0065
2018	10	14	2018	10	20	0.0021	0.666161517	-0.260908756	0.0042
2018	10	20	2018	10	26	-0.0046	0.667035833	-0.260917154	0.0059
2018	10	26	2018	11	1	0.0025	0.666204194	-0.260912992	0.0047
2018	11	1	2018	11	7	-0.0028	0.666884699	-0.260904008	0.0045
2018	11	7	2018	11	13	-0.0047	0.666156191	-0.260913243	0.0058
2018	11	13	2018	11	19	-0.0064	0.667047617	-0.260901524	0.0055
2018	11	19	2018	11	25	-0.0064	0.666050597	-0.260904475	0.0028
2018	11	25	2018	12	1	-0.0050	0.667056273	-0.260900701	0.0039
2018	12	1	2018	12	7	-0.0098	0.666074032	-0.260902646	0.0039
2018	12	7	2018	12	13	-0.0057	0.667049815	-0.260910962	0.0046
2018	12	13	2018	12	19	0.0452	0.666028759	-0.260903531	0.0065
2018	12	19	2018	12	25	0.0001	0.667053010	-0.260914562	0.0073
2018	12	25	2018	12	31	-0.0634	0.666131557	-0.260910122	0.0061
2018	12	31	2019	1	6	-0.0071	0.666960932	-0.260916118	0.0049
2019	1	6	2019	1	12	0.0176	0.666175099	-0.260920671	0.0056
2019	1	12	2019	1	18	-0.0330	0.666971784	-0.260903046	0.0059
2019	1	18	2019	1	24	0.0000	0.666124766	-0.260903962	0.0049
2019	1	24	2019	1	30	-0.0163	0.667026445	-0.260893641	0.0061
2019	1	30	2019	2	5	0.0317	0.665986548	-0.260900223	0.0047
2019	2	5	2019	2	11	-0.0064	0.667083171	-0.260906797	0.0055
2019	2	11	2019	2	17	0.0003	0.666076696	-0.260902607	0.0041
2019	2	17	2019	2	23	-0.0015	0.667104742	-0.260912356	0.0036
2019	2	23	2019	3	1	0.0041	0.666175632	-0.260905251	0.0036
2019	3	1	2019	3	7	-0.0036	0.667012131	-0.260919101	0.0037
2019	3	7	2019	3	13	-0.0020	0.666204660	-0.260918320	0.0023
2019	3	13	2019	3	19	0.0003	0.666966058	-0.260912172	0.0033
2019	3	19	2019	3	25	-0.0037	0.666232890	-0.260917851	0.0035
2019	3	25	2019	3	31	-0.0007	0.667075780	-0.260895768	0.0039
2019	3	31	2019	4	6	-0.0029	0.666131956	-0.260900236	0.0062
2019	4	6	2019	4	12	0.0005	0.667126913	-0.260905111	0.0049
2019	4	12	2019	4	18	0.0005	0.666195539	-0.260907571	0.0047
2019	4	18	2019	4	24	-0.0006	0.667183239	-0.260912032	0.0067
2019	4	24	2019	4	30	0.0008	0.666226232	-0.260898943	0.0056
2019	4	30	2019	5	6	-0.0010	0.667021119	-0.260914208	0.0062
2019	5	6	2019	5	12	-0.0029	0.666202663	-0.260911739	0.0038
2019	5	12	2019	5	18	-0.0038	0.667010000	-0.260898614	0.0047
2019	5	18	2019	5	24	0.0059	0.666160186	-0.260908463	0.0039
2019	5	24	2019	5	30	-0.0042	0.667120388	-0.260902779	0.0068
2019	5	30	2019	6	5	0.0065	0.666119040	-0.260904296	0.0049
2019	6	5	2019	6	11	0.0012	0.667078976	-0.260897732	0.0043
2019	6	11	2019	6	17	0.0026	0.666066576	-0.260898461	0.0063
2019	6	17	2019	6	23	0.0001	0.667097752	-0.260905061	0.0059
2019	6	23	2019	6	29	0.0050	0.666068240	-0.260898964	0.0069
2019	6	29	2019	7	5	0.0028	0.667062864	-0.260909400	0.0048
2019	7	5	2019	7	11	-0.0020	0.666090611	-0.260906098	0.0061
2019	7	11	2019	7	17	0.0097	0.667000413	-0.260912642	0.0036
2019	7	17	2019	7	23	-0.0028	0.666161451	-0.260918223	0.0059
2019	7	23	2019	7	29	0.0015	0.667055407	-0.260907783	0.0054
2019	7	29	2019	8	4	0.0049	0.666085218	-0.260912937	0.0059
2019	8	4	2019	8	10	-0.0077	0.667160868	-0.260897567	0.0059
2019	8	10	2019	8	16	-0.0077	0.666042208	-0.260898580	0.0052
2019	8	16	2019	8	22	-0.0095	0.667158139	-0.260911476	0.0057
2019	8	22	2019	8	28	0.0042	0.666049132	-0.260908991	0.0071
2019	8	28	2019	9	3	-0.0111	0.667112665	-0.260920164	0.0062
2019	9	3	2019	9	9	0.0034	0.666136484	-0.260916533	0.0062
2019	9	9	2019	9	15	-0.0072	0.667052811	-0.260918582	0.0037
2019	9	15	2019	9	21	0.0017	0.666167443	-0.260914196	0.0073
2019	9	21	2019	9	27	-0.0036	0.667084369	-0.260914239	0.0075
2019	9	27	2019	10	3	-0.0057	0.666208788	-0.260922289	0.0055
2019	10	3	2019	10	9	-0.0044	0.667037497	-0.260905213	0.0050
2019	10	9	2019	10	15	-0.0027	0.665994004	-0.260910649	0.0054
2019	10	15	2019	10	21	-0.0102	0.667156141	-0.260905117	0.0033
2019	10	21	2019	10	27	-0.0042	0.665920967	-0.260901008	0.0065
2019	10	27	2019	11	2	-0.0038	0.667053210	-0.260920843	0.0045
2019	11	2	2019	11	8	-0.0049	0.666099732	-0.260913824	0.0056
2019	11	8	2019	11	14	-0.0103	0.667024448	-0.260921112	0.0048
2019	11	14	2019	11	20	-0.0029	0.666151397	-0.260915054	0.0061
2019	11	20	2019	11	26	-0.0023	0.666907935	-0.260906600	0.0049
2019	11	26	2019	12	2	-0.0043	0.666074032	-0.260914965	0.0050
2019	12	2	2019	12	8	-0.0118	0.666995353	-0.260901740	0.0043
2019	12	8	2019	12	14	-0.0013	0.666014977	-0.260906231	0.0060
2019	12	14	2019	12	20	-0.0043	0.667059469	-0.260896590	0.0048
2019	12	20	2019	12	26	0.0008	0.665956387	-0.260896684	0.0057
2019	12	26	2020	1	1	-0.0068	0.667048017	-0.260907400	0.0041
2020	1	1	2020	1	7	-0.0028	0.665978358	-0.260901189	0.0048
2020	1	7	2020	1	13	-0.0088	0.667010267	-0.260915418	0.0032
2020	1	13	2020	1	19	-0.0029	0.666080690	-0.260912916	0.0064
2020	1	19	2020	1	25	-0.0113	0.667004940	-0.260909846	0.0042
2020	1	25	2020	1	31	-0.0041	0.666000263	-0.260908893	0.0058
2020	1	31	2020	2	6	-0.0033	0.665940275	-0.260905391	0.0045
2020	2	6	2020	2	12	-0.0076	0.666009318	-0.260914112	0.0050
2020	2	12	2020	2	18	-0.0071	0.666016974	-0.260905982	0.0030
2020	2	18	2020	2	24	-0.0103	0.665963844	-0.260908541	0.0037
2020	2	24	2020	3	1	-0.0064	0.665997799	-0.260905234	0.0056
2020	3	1	2020	3	7	-0.0012	0.665995602	-0.260903202	0.0062
2020	3	7	2020	3	13	-0.0076	0.666052394	-0.260914239	0.0041
2020	3	13	2020	3	19	-0.0078	0.666058786	-0.260906030	0.0045
2020	3	19	2020	3	25	-0.0125	0.665959050	-0.260916471	0.0052
2020	3	25	2020	3	31	-0.0098	0.666090078	-0.260912756	0.0048
2020	3	31	2020	4	6	-0.0165	0.665966374	-0.260913278	0.0045
2020	4	6	2020	4	12	-0.0113	0.666094605	-0.260920331	0.0050
2020	4	12	2020	4	18	-0.0248	0.666044671	-0.260908335	0.0057
2020	4	18	2020	4	24	-0.0086	0.666070038	-0.260916823	0.0072
2020	4	24	2020	4	30	-0.0060	0.666110717	-0.260900037	0.0042
2020	4	30	2020	5	6	-0.0176	0.665894602	-0.260898718	0.0064
2020	5	6	2020	5	12	-0.0210	0.665992873	-0.260908547	0.0069
2020	5	12	2020	5	18	-0.0048	0.665986015	-0.260901455	0.0059
2020	5	18	2020	5	24	-0.0061	0.665999264	-0.260918227	0.0039
2020	5	24	2020	5	30	-0.0032	0.666070970	-0.260909951	0.0048
2020	5	30	2020	6	5	-0.0148	0.665943071	-0.260898822	0.0050
2020	6	5	2020	6	11	0.0007	0.666027227	-0.260900839	0.0067
2020	6	11	2020	6	17	-0.0073	0.665932685	-0.260891652	0.0058
2020	6	17	2020	6	23	-0.0076	0.665991741	-0.260900609	0.0058
2020	6	23	2020	6	29	-0.0309	0.666007986	-0.260892668	0.0068
2020	6	29	2020	7	5	0.0092	0.665888410	-0.260893512	0.0069
2020	7	5	2020	7	11	-0.0146	0.666027427	-0.260904580	0.0064
2020	7	11	2020	7	17	-0.0095	0.666004124	-0.260894780	0.0066
2020	7	17	2020	7	23	-0.0277	0.665914376	-0.260903306	0.0056
2020	7	23	2020	7	29	0.0006	0.666106257	-0.260903888	0.0067
2020	7	29	2020	8	4	-0.0082	0.665982686	-0.260915186	0.0064
2020	8	4	2020	8	10	-0.0110	0.666125764	-0.260922902	0.0049
2020	8	10	2020	8	16	-0.0151	0.666042208	-0.260909100	0.0063
2020	8	16	2020	8	22	0.0004	0.666017374	-0.260912346	0.0049
2020	8	22	2020	8	28	-0.0161	0.666129027	-0.260898285	0.0055
2020	8	28	2020	9	3	-0.0133	0.665919902	-0.260899458	0.0054
2020	9	3	2020	9	9	-0.0117	0.666129759	-0.260910302	0.0046
2020	9	9	2020	9	15	-0.0101	0.665999863	-0.260907250	0.0045
2020	9	15	2020	9	21	-0.0052	0.666058519	-0.260915237	0.0050
2020	9	21	2020	9	27	-0.0201	0.666064245	-0.260909889	0.0058
2020	9	27	2020	10	3	0.0056	0.665945135	-0.260922772	0.0061
2020	10	3	2020	10	9	-0.0158	0.666166644	-0.260922380	0.0059
2020	10	9	2020	10	15	-0.0058	0.665904522	-0.260915734	0.0068
2020	10	15	2020	10	21	-0.0006	0.666048533	-0.260920798	0.0049
2020	10	21	2020	10	27	-0.0087	0.665954390	-0.260898961	0.0050
2020	10	27	2020	11	2	-0.0092	0.665940142	-0.260902547	0.0052
2020	11	2	2020	11	8	-0.0060	0.666061982	-0.260905743	0.0041
2020	11	8	2020	11	14	-0.0115	0.665942073	-0.260906594	0.0046
2020	11	14	2020	11	20	-0.0075	0.666095205	-0.260913011	0.0050
2020	11	20	2020	11	26	-0.0103	0.665893204	-0.260900811	0.0057
2020	11	26	2020	12	2	-0.0043	0.665920235	-0.260912447	0.0059
2020	12	2	2020	12	8	-0.0062	0.666052794	-0.260909869	0.0061
2020	12	8	2020	12	14	-0.0147	0.665882218	-0.261643470	0.0067
2020	12	14	2020	12	20	-0.0067	0.666056189	-0.261647263	0.0035
