YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR		
2017	12	28	2018	1	3	0.0004	0.767760447	-2.880180251	0.0055		
2018	1	3	2018	1	9	-0.0010	0.767877892	-2.880176383	0.0061		
2018	1	9	2018	1	15	-0.0006	0.767776892	-2.880183545	0.0051		
2018	1	15	2018	1	21	-0.0007	0.767810714	-2.880167579	0.0055		
2018	1	21	2018	1	27	0.0011	0.767913579	-2.880179148	0.0059		
2018	1	27	2018	2	2	0.0046	0.767753456	-2.880178194	0.0038		
2018	2	2	2018	2	8	0.0033	0.767915310	-2.880176088	0.0061		
2018	2	8	2018	2	14	0.0009	0.767770967	-2.880178486	0.0063		
2018	2	14	2018	2	20	-0.0009	0.767898599	-2.880166077	0.0052		
2018	2	20	2018	2	26	0.0020	0.767876494	-2.880172196	0.0060		
2018	2	26	2018	3	4	-0.0052	0.767855056	-2.880166245	0.0061		
2018	3	4	2018	3	10	-0.0030	0.767956456	-2.880173823	0.0061		
2018	3	10	2018	3	16	0.0021	0.767829756	-2.880171157	0.0052		
2018	3	16	2018	3	22	0.0017	0.767973700	-2.880167385	0.0070		
2018	3	22	2018	3	28	0.0002	0.767913978	-2.880396258	0.0071		
2018	3	28	2018	4	3	-0.0004	0.767909318	-2.879994841	0.0067		
2018	4	3	2018	4	9	0.0024	0.767938280	-2.879995216	0.0058		
2018	4	9	2018	4	15	0.0012	0.767877560	-2.879987832	0.0060		
2018	4	15	2018	4	21	-0.0026	0.768040279	-2.879988484	0.0052		
2018	4	21	2018	4	27	-0.0017	0.767870369	-2.880010266	0.0052		
2018	4	27	2018	5	3	0.0011	0.767863178	-2.880006514	0.0061		
2018	5	3	2018	5	9	-0.0017	0.767905123	-2.880009430	0.0064		
2018	5	9	2018	5	15	-0.0011	0.767870436	-2.880005148	0.0066		
2018	5	15	2018	5	21	0.0018	0.767949731	-2.880811555	0.0059		
2018	5	21	2018	5	27	0.0011	0.767911715	-2.880954883	0.0068		
2018	5	27	2018	6	8	0.0038	0.767927361	-2.881045094	0.0067		
2018	6	8	2018	6	14	0.0019	0.767782951	-2.881046965	0.0074		
2018	6	14	2018	6	20	0.0115	0.767931955	-2.881046597	0.0051		
2018	6	20	2018	6	26	0.0010	0.767792538	-2.881056699	0.0069		
2018	6	26	2018	7	2	0.0024	0.767791806	-2.881043953	0.0062		
2018	7	2	2018	7	8	0.0021	0.767904790	-2.881050911	0.0076		
2018	7	8	2018	7	14	-0.0012	0.767845934	-2.881045328	0.0052		
2018	7	14	2018	7	20	-0.0112	0.767896668	-2.881039677	0.0064		
2018	7	20	2018	7	26	0.0035	0.767832685	-2.881043603	0.0060		
2018	7	26	2018	8	1	-0.0027	0.767939145	-2.881040080	0.0074		
2018	8	1	2018	8	7	0.0030	0.767907920	-2.881033163	0.0058		
2018	8	7	2018	8	19	0.0091	0.767900196	-2.881036896	0.0069		
2018	8	19	2018	8	25	-0.0007	0.767858385	-2.881051253	0.0043		
2018	8	25	2018	8	31	0.0042	0.767870436	-2.881046858	0.0075		
2018	8	31	2018	9	6	0.0017	0.767835016	-2.881048359	0.0055		
2018	9	6	2018	9	12	0.0000	0.767852060	-2.881043888	0.0076		
2018	9	12	2018	9	18	-0.0030	0.767872366	-2.881048620	0.0074		
2018	9	18	2018	9	24	0.0074	0.767832419	-2.881049287	0.0077		
2018	9	24	2018	9	30	-0.0030	0.767881621	-2.881038774	0.0060		
2018	9	30	2018	10	6	0.0016	0.767796000	-2.881045825	0.0063		
2018	10	6	2018	10	12	-0.0016	0.767798197	-2.881036546	0.0047		
2018	10	12	2018	10	18	-0.0056	0.767849796	-2.881043379	0.0068		
2018	10	18	2018	10	24	0.0086	0.767790208	-2.881045457	0.0044		
2018	10	24	2018	10	30	-0.0099	0.767789875	-2.881041889	0.0063		
2018	10	30	2018	11	5	0.0005	0.767787811	-2.881054702	0.0052		
2018	11	5	2018	11	11	-0.0018	0.767755720	-2.881038860	0.0051		
2018	11	11	2018	11	17	-0.0034	0.767846467	-2.880317752	0.0052		
2018	11	17	2018	11	23	0.0022	0.767794935	-2.880319333	0.0064		
2018	11	23	2018	11	29	-0.0012	0.767881754	-2.880317950	0.0065		
2018	11	29	2018	12	5	-0.0038	0.767779955	-2.880325922	0.0051		
2018	12	5	2018	12	11	-0.0097	0.767821899	-2.880306782	0.0052		
2018	12	11	2018	12	17	0.0099	0.767932154	-2.880318807	0.0069		
2018	12	17	2018	12	23	-0.0006	0.767729355	-2.880316530	0.0051		
2018	12	23	2018	12	29	0.0005	0.767899531	-2.880313876	0.0058		
2018	12	29	2019	1	4	-0.0265	0.767757850	-2.880323694	0.0067		
2019	1	4	2019	1	10	-0.0256	0.767836680	-2.880307282	0.0071		
2019	1	10	2019	1	16	-0.0069	0.767855855	-2.880314174	0.0055		
2019	1	16	2019	1	22	-0.0059	0.767822299	-2.880315919	0.0056		
2019	1	22	2019	1	28	-0.0129	0.767806853	-2.880322623	0.0051		
2019	1	28	2019	2	3	-0.0105	0.767763576	-2.880327574	0.0066		
2019	2	3	2019	2	9	-0.0118	0.767831354	-2.880310554	0.0068		
2019	2	9	2019	2	15	0.0016	0.767930889	-2.880320670	0.0051		
2019	2	15	2019	2	21	0.0004	0.767729754	-2.880317620	0.0035		
2019	2	21	2019	2	27	-0.0017	0.767895802	-2.880317029	0.0042		
2019	2	27	2019	3	5	-0.0021	0.767711245	-2.880320179	0.0042		
2019	3	5	2019	3	11	0.0006	0.767904924	-2.880308888	0.0029		
2019	3	11	2019	3	17	0.0017	0.767855189	-2.880316661	0.0059		
2019	3	17	2019	3	23	0.0000	0.767890010	-2.880311496	0.0043		
2019	3	23	2019	3	29	-0.0015	0.767869104	-2.880318765	0.0049		
2019	3	29	2019	4	4	0.0033	0.767813444	-2.880324004	0.0056		
2019	4	4	2019	4	10	-0.0020	0.767899730	-2.880321439	0.0044		
2019	4	10	2019	4	16	0.0005	0.767849929	-2.880321856	0.0066		
2019	4	16	2019	4	22	0.0004	0.767785614	-2.880305150	0.0070		
2019	4	22	2019	4	28	0.0014	0.767896535	-2.880319299	0.0044		
2019	4	28	2019	5	4	0.0031	0.767732484	-2.880317262	0.0061		
2019	5	4	2019	5	10	0.0009	0.768029426	-2.880311045	0.0068		
2019	5	10	2019	5	16	0.0003	0.767783550	-2.881055121	0.0063		
2019	5	16	2019	5	22	0.0022	0.767800128	-2.881051504	0.0068		
2019	5	22	2019	5	28	-0.0022	0.767829756	-2.881053012	0.0058		
2019	5	28	2019	6	3	0.0090	0.767772631	-2.881044926	0.0049		
2019	6	3	2019	6	9	-0.0031	0.767926895	-2.881047652	0.0049		
2019	6	9	2019	6	15	0.0124	0.767793537	-2.881054463	0.0067		
2019	6	15	2019	6	21	-0.0113	0.767875562	-2.881040782	0.0053		
