YYYY MM DD     X              Y              Z        mX       mY     mZ
2019 3 31 3891059.13904 1298685.82323 4868052.43999 0.00036 0.00018 0.00044
2019 4 1 3891059.13944 1298685.82340 4868052.44241 0.00037 0.00018 0.00043
2019 4 2 3891059.13804 1298685.82208 4868052.43938 0.00040 0.00019 0.00047
2019 4 7 3891059.13356 1298685.81878 4868052.43292 0.00046 0.00023 0.00057
2019 4 8 3891059.13943 1298685.82173 4868052.44055 0.00046 0.00023 0.00056
2019 4 9 3891059.13631 1298685.82113 4868052.43789 0.00037 0.00017 0.00043
2019 4 10 3891059.13618 1298685.82135 4868052.43903 0.00054 0.00027 0.00062
2019 4 12 3891059.13010 1298685.82307 4868052.43831 0.00148 0.00147 0.00137
2019 4 13 3891059.13758 1298685.82248 4868052.44387 0.00061 0.00035 0.00072
2019 4 14 3891059.13122 1298685.82154 4868052.43417 0.00059 0.00039 0.00069
2019 4 15 3891059.13699 1298685.82232 4868052.43842 0.00043 0.00021 0.00052
2019 4 16 3891059.13303 1298685.82109 4868052.43533 0.00041 0.00020 0.00049
2019 4 17 3891059.13467 1298685.82211 4868052.43652 0.00057 0.00028 0.00068
2019 4 18 3891059.13562 1298685.82283 4868052.43900 0.00047 0.00023 0.00056
2019 4 19 3891059.13474 1298685.82239 4868052.43594 0.00048 0.00027 0.00057
2019 4 20 3891059.13595 1298685.82309 4868052.44126 0.00057 0.00031 0.00069
2019 4 21 3891059.13482 1298685.82303 4868052.43786 0.00059 0.00032 0.00068
2019 4 22 3891059.13154 1298685.82220 4868052.43537 0.00069 0.00042 0.00073
2019 4 23 3891059.13365 1298685.82170 4868052.43336 0.00047 0.00024 0.00057
2019 4 24 3891059.13229 1298685.82128 4868052.43316 0.00049 0.00024 0.00060
2019 4 25 3891059.13372 1298685.82134 4868052.43337 0.00053 0.00025 0.00062
2019 4 26 3891059.13279 1298685.81922 4868052.43255 0.00045 0.00023 0.00049
2019 4 27 3891059.13535 1298685.82303 4868052.43728 0.00048 0.00025 0.00058
2019 5 5 3891059.14181 1298685.82155 4868052.44460 0.00066 0.00060 0.00078
2019 5 6 3891059.13191 1298685.82407 4868052.43437 0.00056 0.00034 0.00066
2019 5 7 3891059.13532 1298685.82519 4868052.44232 0.00097 0.00087 0.00096
2019 5 8 3891059.12099 1298685.82792 4868052.42982 0.00140 0.00103 0.00103
2019 5 9 3891059.13521 1298685.81438 4868052.43311 0.00115 0.00118 0.00117
2019 5 10 3891059.12865 1298685.82403 4868052.43232 0.00091 0.00086 0.00097
2019 5 11 3891059.13589 1298685.82985 4868052.43954 0.00146 0.00148 0.00152
2019 5 12 3891059.13293 1298685.82528 4868052.43921 0.00066 0.00041 0.00074
2019 5 13 3891059.13047 1298685.82607 4868052.43435 0.00077 0.00052 0.00091
2019 5 14 3891059.14125 1298685.82524 4868052.44413 0.00139 0.00138 0.00132
2019 5 21 3891059.13344 1298685.82552 4868052.43355 0.00057 0.00028 0.00069
2019 5 22 3891059.13079 1298685.82228 4868052.43238 0.00049 0.00024 0.00058
2019 5 23 3891059.13064 1298685.82325 4868052.43216 0.00042 0.00021 0.00052
2019 5 24 3891059.12969 1298685.82083 4868052.43172 0.00067 0.00035 0.00081
2019 6 4 3891059.12434 1298685.83363 4868052.42850 0.00148 0.00115 0.00144
2019 6 5 3891059.13401 1298685.82477 4868052.43766 0.00093 0.00055 0.00104
2019 11 25 3891059.04450 1298685.81034 4868052.32182 0.00043 0.00022 0.00050
2019 11 26 3891059.05461 1298685.81418 4868052.33009 0.00040 0.00020 0.00049
2019 11 27 3891059.04698 1298685.81320 4868052.32381 0.00042 0.00021 0.00050
2019 11 28 3891059.04355 1298685.80931 4868052.31496 0.00042 0.00021 0.00052
2019 11 29 3891059.05465 1298685.81722 4868052.33096 0.00059 0.00031 0.00071
2019 12 1 3891059.03914 1298685.80872 4868052.31449 0.00066 0.00031 0.00073
2019 12 2 3891059.04104 1298685.80830 4868052.31634 0.00057 0.00028 0.00064
2019 12 3 3891059.04120 1298685.80722 4868052.31462 0.00049 0.00026 0.00057
2019 12 4 3891059.03525 1298685.80532 4868052.31204 0.00059 0.00030 0.00068
2019 12 5 3891059.03717 1298685.80672 4868052.31169 0.00055 0.00028 0.00065
2019 12 6 3891059.03945 1298685.80609 4868052.31015 0.00048 0.00026 0.00061
2019 12 7 3891059.03366 1298685.82038 4868052.31468 0.00048 0.00023 0.00055
2019 12 8 3891059.03533 1298685.80505 4868052.30751 0.00051 0.00025 0.00057
2019 12 9 3891059.03398 1298685.80473 4868052.30596 0.00048 0.00028 0.00053
2019 12 10 3891059.03299 1298685.80477 4868052.30657 0.00046 0.00024 0.00053
2019 12 11 3891059.03254 1298685.80539 4868052.30261 0.00049 0.00026 0.00057
2019 12 12 3891059.03586 1298685.80651 4868052.30683 0.00051 0.00030 0.00060
2019 12 13 3891059.03607 1298685.80459 4868052.30645 0.00055 0.00030 0.00062
2019 12 14 3891059.03293 1298685.80393 4868052.30040 0.00040 0.00022 0.00048
2019 12 15 3891059.02583 1298685.80379 4868052.29728 0.00078 0.00038 0.00087
2019 12 16 3891059.03190 1298685.80478 4868052.30388 0.00043 0.00020 0.00049
2019 12 17 3891059.02948 1298685.80100 4868052.29783 0.00057 0.00031 0.00061
2019 12 18 3891059.02163 1298685.80050 4868052.28928 0.00050 0.00025 0.00059
2019 12 19 3891059.03050 1298685.80261 4868052.29774 0.00042 0.00022 0.00050
2019 12 20 3891059.01854 1298685.80512 4868052.28586 0.00054 0.00027 0.00062
2019 12 21 3891059.02818 1298685.80266 4868052.29786 0.00046 0.00023 0.00054
2019 12 22 3891059.02493 1298685.80247 4868052.29212 0.00044 0.00025 0.00053
2019 12 23 3891059.02780 1298685.80106 4868052.29681 0.00043 0.00020 0.00052
2019 12 24 3891059.02288 1298685.79781 4868052.29156 0.00048 0.00027 0.00053
2019 12 25 3891059.02179 1298685.79855 4868052.28850 0.00042 0.00021 0.00049
2019 12 26 3891059.02107 1298685.79787 4868052.28949 0.00050 0.00024 0.00059
2019 12 27 3891059.01974 1298685.79801 4868052.28763 0.00038 0.00020 0.00046
2019 12 28 3891059.01780 1298685.79955 4868052.28277 0.00039 0.00019 0.00047
2019 12 29 3891059.01761 1298685.79883 4868052.28675 0.00041 0.00021 0.00050
2019 12 31 3891059.01523 1298685.79779 4868052.28157 0.00042 0.00021 0.00050
2020 1 1 3891059.01784 1298685.79710 4868052.28505 0.00048 0.00024 0.00057
2020 1 2 3891059.01763 1298685.79524 4868052.28213 0.00047 0.00023 0.00055
2020 1 3 3891059.01288 1298685.79649 4868052.27916 0.00045 0.00022 0.00052
2020 1 4 3891059.01601 1298685.79887 4868052.28327 0.00041 0.00020 0.00049
2020 1 5 3891059.01210 1298685.79631 4868052.27884 0.00045 0.00024 0.00054
2020 1 6 3891059.01038 1298685.79439 4868052.27789 0.00047 0.00025 0.00055
2020 1 7 3891059.00834 1298685.78432 4868052.27653 0.00047 0.00025 0.00056
2020 1 8 3891059.01371 1298685.79350 4868052.27774 0.00055 0.00029 0.00066
2020 1 9 3891059.00999 1298685.79439 4868052.27505 0.00046 0.00023 0.00055
2020 1 10 3891059.01131 1298685.79335 4868052.27544 0.00042 0.00023 0.00048
2020 1 11 3891059.00617 1298685.79205 4868052.26933 0.00039 0.00020 0.00047
2020 1 12 3891059.01020 1298685.79353 4868052.27375 0.00042 0.00021 0.00050
2020 1 13 3891059.00891 1298685.79300 4868052.27381 0.00045 0.00023 0.00053
2020 1 14 3891059.01148 1298685.79206 4868052.27670 0.00066 0.00033 0.00080
2020 1 16 3891059.00446 1298685.79221 4868052.26644 0.00044 0.00023 0.00052
2020 1 17 3891059.00339 1298685.78846 4868052.26628 0.00043 0.00022 0.00052
2020 1 18 3891059.00429 1298685.78857 4868052.26781 0.00046 0.00024 0.00054
2020 1 19 3891059.00340 1298685.78804 4868052.26607 0.00048 0.00024 0.00057
2020 1 20 3891058.99689 1298685.78779 4868052.25900 0.00043 0.00022 0.00050
2020 1 21 3891058.99750 1298685.78534 4868052.25806 0.00042 0.00021 0.00050
2020 1 22 3891058.99515 1298685.78416 4868052.25648 0.00049 0.00025 0.00059
2020 1 24 3891058.99554 1298685.78423 4868052.25561 0.00046 0.00023 0.00054
2020 1 25 3891058.99906 1298685.78441 4868052.25320 0.00047 0.00023 0.00056
2020 1 26 3891058.99229 1298685.77951 4868052.25126 0.00047 0.00024 0.00054
2020 1 28 3891058.98040 1298685.77622 4868052.24376 0.00054 0.00026 0.00065
2020 1 29 3891058.99509 1298685.77428 4868052.24941 0.00047 0.00024 0.00055
2020 1 30 3891058.99117 1298685.78081 4868052.25002 0.00043 0.00022 0.00051
2020 1 31 3891058.98867 1298685.78053 4868052.24572 0.00044 0.00023 0.00054
2020 2 1 3891058.98922 1298685.77991 4868052.24657 0.00058 0.00030 0.00070
2020 2 2 3891058.98894 1298685.77673 4868052.24165 0.00040 0.00020 0.00046
2020 2 3 3891058.98589 1298685.77557 4868052.24061 0.00039 0.00019 0.00045
2020 2 4 3891058.98942 1298685.77519 4868052.24630 0.00056 0.00028 0.00065
2020 2 5 3891058.99208 1298685.77708 4868052.24650 0.00042 0.00021 0.00050
2020 2 6 3891058.98307 1298685.77382 4868052.23654 0.00037 0.00019 0.00044
2020 2 7 3891058.98585 1298685.77360 4868052.24201 0.00035 0.00017 0.00043
2020 2 8 3891058.98262 1298685.77265 4868052.23630 0.00043 0.00022 0.00053
2020 2 9 3891058.98249 1298685.77318 4868052.23654 0.00043 0.00021 0.00050
2020 2 10 3891058.98310 1298685.77274 4868052.23299 0.00049 0.00025 0.00057
2020 2 11 3891058.97808 1298685.77059 4868052.22869 0.00046 0.00024 0.00054
2020 2 12 3891058.97706 1298685.76986 4868052.22662 0.00042 0.00021 0.00050
2020 2 13 3891058.97817 1298685.77063 4868052.22840 0.00043 0.00021 0.00051
2020 2 14 3891058.97897 1298685.76857 4868052.22890 0.00042 0.00021 0.00051
2020 2 15 3891058.97680 1298685.76832 4868052.22695 0.00039 0.00020 0.00047
2020 2 16 3891058.97386 1298685.76564 4868052.22370 0.00048 0.00024 0.00058
2020 2 17 3891058.97269 1298685.76467 4868052.21995 0.00044 0.00022 0.00053
2020 2 18 3891058.96548 1298685.76340 4868052.21223 0.00047 0.00023 0.00056
2020 2 19 3891058.97290 1298685.76490 4868052.22162 0.00047 0.00023 0.00055
2020 2 20 3891058.96412 1298685.76151 4868052.21167 0.00044 0.00022 0.00053
2020 2 21 3891058.96544 1298685.76216 4868052.21230 0.00044 0.00024 0.00053
2020 2 22 3891058.96473 1298685.75965 4868052.20982 0.00044 0.00021 0.00051
2020 2 23 3891058.96548 1298685.75795 4868052.21249 0.00048 0.00024 0.00056
2020 2 24 3891058.96728 1298685.76188 4868052.21391 0.00049 0.00024 0.00058
2020 2 25 3891058.96812 1298685.75854 4868052.21556 0.00044 0.00022 0.00053
