YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR		
2019	2	11	2019	2	17	0.0005	0.6683101	-0.2609068	0.0063		
2019	2	17	2019	2	23	0.0005	0.6673096	-0.2609026	0.0059		
2019	2	23	2019	3	1	0.0182	0.6683283	-0.2609124	0.0072		
2019	3	1	2019	3	7	0.0169	0.6674066	-0.2609053	0.0070		
2019	3	7	2019	3	13	-0.0036	0.6682355	-0.2609191	0.0064		
2019	3	13	2019	3	19	-0.0022	0.6674356	-0.2609183	0.0055		
2019	3	19	2019	3	25	-0.0010	0.6681892	-0.2609122	0.0054		
2019	3	25	2019	3	31	-0.0013	0.6674637	-0.2609179	0.0062		
2019	3	31	2019	4	6	-0.0001	0.6682985	-0.2608958	0.0070		
2019	4	6	2019	4	12	-0.0049	0.6673632	-0.2609002	0.0063		
2019	4	12	2019	4	18	0.0070	0.6683502	-0.2609051	0.0076		
2019	4	18	2019	4	24	0.0007	0.6674267	-0.2609076	0.0072		
2019	4	24	2019	4	30	-0.0137	0.6684088	-0.2609120	0.0060		
2019	4	30	2019	5	6	0.0071	0.6674591	-0.2608989	0.0071		
2019	5	6	2019	5	12	-0.0077	0.6682478	-0.2609142	0.0066		
2019	5	12	2019	5	18	0.0007	0.6674336	-0.2609117	0.0057		
2019	5	18	2019	5	24	0.0029	0.6682349	-0.2608986	0.0073		
2019	5	24	2019	5	30	-0.0147	0.6673910	-0.2609085	0.0071		
2019	5	30	2019	6	5	-0.0173	0.6683465	-0.2609028	0.0069		
2019	6	5	2019	6	11	-0.0002	0.6673500	-0.2609043	0.0061		
2019	6	11	2019	6	17	0.0056	0.6683020	-0.2608977	0.0075		
2019	6	17	2019	6	23	0.0111	0.6672987	-0.2608985	0.0060		
2019	6	23	2019	6	29	-0.0120	0.6683235	-0.2609051	0.0062		
2019	6	29	2019	7	5	0.0039	0.6673177	-0.2608990	0.0075		
2019	7	5	2019	7	11	-0.0124	0.6682886	-0.2609094	0.0072		
2019	7	11	2019	7	17	0.0017	0.6673386	-0.2609061	0.0072		
2019	7	17	2019	7	23	-0.0036	0.6682243	-0.2609126	0.0071		
2019	7	23	2019	7	29	-0.0001	0.6674092	-0.2609182	0.0059		
2019	7	29	2019	8	4	-0.0126	0.6682786	-0.2609078	0.0070		
2019	8	4	2019	8	10	-0.0106	0.6673360	-0.2609129	0.0068		
2019	8	10	2019	8	16	-0.0071	0.6683867	-0.2608976	0.0064		
2019	8	16	2019	8	22	0.0020	0.6672896	-0.2608986	0.0069		
2019	8	22	2019	8	28	-0.0043	0.6683853	-0.2609115	0.0060		
2019	8	28	2019	9	3	0.0023	0.6672964	-0.2609090	0.0074		
2019	9	3	2019	9	9	-0.0004	0.6683397	-0.2609202	0.0068		
2019	9	9	2019	9	15	0.0005	0.6673872	-0.2609165	0.0071		
2019	9	15	2019	9	21	-0.0102	0.6682759	-0.2609186	0.0054		
2019	9	21	2019	9	27	-0.0046	0.6674155	-0.2609142	0.0069		
2019	9	27	2019	10	3	-0.0125	0.6683113	-0.2609142	0.0064		
2019	10	3	2019	10	9	-0.0068	0.6674561	-0.2609223	0.0061		
2019	10	9	2019	10	15	-0.0091	0.6682616	-0.2609052	0.0056		
2019	10	15	2019	10	21	-0.0063	0.6672430	-0.2609106	0.0057		
2019	10	21	2019	10	27	-0.0054	0.6683795	-0.2609051	0.0071		
2019	10	27	2019	11	2	-0.0103	0.6671702	-0.2609010	0.0068		
2019	11	2	2019	11	8	-0.0116	0.6682763	-0.2609208	0.0074		
2019	11	8	2019	11	14	-0.0096	0.6673484	-0.2609138	0.0058		
2019	11	14	2019	11	20	-0.0047	0.6682499	-0.2609211	0.0043		
2019	11	20	2019	11	26	-0.0040	0.6674024	-0.2609151	0.0049		
2019	11	26	2019	12	2	-0.0080	0.6681347	-0.2609066	0.0059		
2019	12	2	2019	12	8	-0.0043	0.6673250	-0.2609150	0.0066		
2019	12	8	2019	12	14	0.0012	0.6682213	-0.2609017	0.0071		
2019	12	14	2019	12	20	-0.0038	0.6672655	-0.2609062	0.0056		
2019	12	20	2019	12	26	-0.0088	0.6682855	-0.2608966	0.0073		
2019	12	26	2020	1	1	-0.0123	0.6672037	-0.2608967	0.0073		
2020	1	1	2020	1	7	0.0018	0.6682743	-0.2609074	0.0072		
2020	1	7	2020	1	13	0.0009	0.6672253	-0.2609012	0.0069		
2020	1	13	2020	1	19	-0.0009	0.6682334	-0.2609154	0.0076		
2020	1	19	2020	1	25	-0.0022	0.6673314	-0.2609129	0.0062		
2020	1	25	2020	1	31	-0.0008	0.6682287	-0.2609098	0.0058		
2020	1	31	2020	2	6	0.0013	0.6672311	-0.2609089	0.0067		
2020	2	6	2020	2	12	0.0026	0.6671727	-0.2609054	0.0058		
2020	2	12	2020	2	18	-0.0005	0.6672400	-0.2609141	0.0041		
2020	2	18	2020	2	24	0.0027	0.6672504	-0.2609060	0.0057		
2020	2	24	2020	3	1	-0.0009	0.6671934	-0.2609085	0.0066		
2020	3	1	2020	3	7	-0.0013	0.6672308	-0.2609052	0.0050		
2020	3	7	2020	3	13	0.0039	0.6672265	-0.2609032	0.0060		
2020	3	13	2020	3	19	-0.0045	0.6672864	-0.2609142	0.0059		
2020	3	19	2020	3	25	0.0051	0.6672886	-0.2609060	0.0063		
2020	3	25	2020	3	31	0.0009	0.6671945	-0.2609165	0.0053		
2020	3	31	2020	4	6	-0.0019	0.6673203	-0.2609128	0.0058		
2020	4	6	2020	4	12	0.0008	0.6672012	-0.2609133	0.0060		
2020	4	12	2020	4	18	0.0040	0.6673239	-0.2609203	0.0061		
2020	4	18	2020	4	24	-0.0084	0.6672768	-0.2609083	0.0076		
2020	4	24	2020	4	30	0.0119	0.6673005	-0.2609168	0.0074		
2020	4	30	2020	5	6	-0.0020	0.6673406	-0.2609000	0.0060		
2020	5	6	2020	5	12	-0.0025	0.6671218	-0.2608987	0.0057		
2020	5	12	2020	5	18	0.0033	0.6672274	-0.2609085	0.0050		
2020	5	18	2020	5	24	-0.0209	0.6672132	-0.2609015	0.0071		
2020	5	24	2020	5	30	0.0101	0.6672282	-0.2609182	0.0060		
2020	5	30	2020	6	5	-0.0002	0.6673018	-0.2609100	0.0053		
2020	6	5	2020	6	11	0.0050	0.6671719	-0.2608988	0.0075		
2020	6	11	2020	6	17	-0.0004	0.6672579	-0.2609008	0.0071		
2020	6	17	2020	6	23	-0.0171	0.6671621	-0.2608917	0.0071		
2020	6	23	2020	6	29	-0.0331	0.6672222	-0.2609006	0.0073		
2020	6	29	2020	7	5	0.0016	0.6672389	-0.2608927	0.0074		
2020	7	5	2020	7	11	-0.0372	0.6671181	-0.2608935	0.0068		
2020	7	11	2020	7	17	0.0065	0.6672586	-0.2609046	0.0064		
2020	7	17	2020	7	23	-0.0015	0.6672332	-0.2608948	0.0063		
2020	7	23	2020	7	29	-0.0087	0.6671434	-0.2609033	0.0073		
2020	7	29	2020	8	4	0.0000	0.6673357	-0.2609039	0.0067		
2020	8	4	2020	8	10	-0.0110	0.6672123	-0.2609152	0.0072		
2020	8	10	2020	8	16	-0.0026	0.6673550	-0.2609229	0.0069		
2020	8	16	2020	8	22	-0.0163	0.6672714	-0.2609091	0.0069		
2020	8	22	2020	8	28	0.0004	0.6672472	-0.2609123	0.0068		
2020	8	28	2020	9	3	0.0037	0.6673581	-0.2608983	0.0059		
2020	9	3	2020	9	9	0.0029	0.6671495	-0.2608995	0.0061		
2020	9	9	2020	9	15	-0.0016	0.6673605	-0.2609103	0.0067		
2020	9	15	2020	9	21	0.0061	0.6672304	-0.2609072	0.0060		
2020	9	21	2020	9	27	0.0028	0.6672882	-0.2609152	0.0071		
2020	9	27	2020	10	3	-0.0055	0.6672949	-0.2609099	0.0059		
2020	10	3	2020	10	9	0.0097	0.6671744	-0.2609228	0.0058		
2020	10	9	2020	10	15	-0.0004	0.6673962	-0.2609224	0.0062		
2020	10	15	2020	10	21	-0.0056	0.6671337	-0.2609157	0.0054		
2020	10	21	2020	10	27	0.0045	0.6672793	-0.2609208	0.0060		
2020	10	27	2020	11	2	0.0003	0.6671841	-0.2610198	0.0063		
2020	11	2	2020	11	8	0.0027	0.6671698	-0.2609025	0.0052		
2020	11	8	2020	11	14	0.0023	0.6672916	-0.2609057	0.0051		
2020	11	14	2020	11	20	-0.0045	0.6671713	-0.2609066	0.0068		
2020	11	20	2020	11	26	0.0019	0.6673251	-0.2609130	0.0053		
2020	11	26	2020	12	2	-0.0039	0.6671226	-0.2609008	0.0071		
2020	12	2	2020	12	8	0.0007	0.6671531	-0.2609124	0.0055		
2020	12	8	2020	12	14	0.0013	0.6672829	-0.2609099	0.0060		
2020	12	14	2020	12	20	-0.0020	0.6671171	-0.2613288	0.0058		
2020	12	20	2020	12	26	0.0026	0.6672864	-0.2613332	0.0064		
