YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR
2019	2	11	2019	2	17	0.0027	0.6682896	-0.2609068	0.0067
2019	2	17	2019	2	23	0.0013	0.6672884	-0.2609026	0.0049
2019	2	23	2019	3	1	-0.0013	0.6683071	-0.2609124	0.0066
2019	3	1	2019	3	7	0.0070	0.6673846	-0.2609053	0.0059
2019	3	7	2019	3	13	-0.0039	0.6682141	-0.2609191	0.0051
2019	3	13	2019	3	19	-0.0032	0.6674137	-0.2609183	0.0048
2019	3	19	2019	3	25	0.0003	0.6681672	-0.2609122	0.0050
2019	3	25	2019	3	31	-0.0042	0.6674412	-0.2609179	0.0054
2019	3	31	2019	4	6	0.0083	0.6682767	-0.2608958	0.0063
2019	4	6	2019	4	12	-0.0031	0.6673408	-0.2609002	0.0053
2019	4	12	2019	4	18	-0.0051	0.6683289	-0.2609051	0.0070
2019	4	18	2019	4	24	0.0070	0.6683289	-0.2609076	0.0055
2019	4	24	2019	4	30	-0.0270	0.6683880	-0.2609120	0.0073
2019	4	30	2019	5	6	-0.0055	0.6674377	-0.2608989	0.0066
2019	5	6	2019	5	12	-0.0038	0.6682272	-0.2609142	0.0067
2019	5	12	2019	5	18	-0.0053	0.6674111	-0.2609117	0.0055
2019	5	18	2019	5	24	-0.0060	0.6682130	-0.2608986	0.0066
2019	5	24	2019	5	30	-0.0083	0.6673685	-0.2609085	0.0067
2019	5	30	2019	6	5	-0.0222	0.6683258	-0.2609028	0.0068
2019	6	5	2019	6	11	0.0024	0.6673278	-0.2609043	0.0058
2019	6	11	2019	6	17	-0.0019	0.6682805	-0.2608977	0.0060
2019	6	17	2019	6	23	0.0026	0.6672771	-0.2608985	0.0055
2019	6	23	2019	6	29	-0.0084	0.6683027	-0.2609051	0.0049
2019	6	29	2019	7	5	0.0023	0.6672973	-0.2608990	0.0062
2019	7	5	2019	7	11	-0.0002	0.6682678	-0.2609094	0.0071
2019	7	11	2019	7	17	-0.0103	0.6673177	-0.2609061	0.0070
2019	7	17	2019	7	23	-0.0059	0.6682026	-0.2609126	0.0059
2019	7	23	2019	7	29	-0.0165	0.6673880	-0.2609182	0.0076
2019	7	29	2019	8	4	-0.0066	0.6682572	-0.2609078	0.0067
2019	8	4	2019	8	10	0.0108	0.6673159	-0.2609129	0.0071
2019	8	10	2019	8	16	-0.0059	0.6683659	-0.2608976	0.0067
2019	8	16	2019	8	22	-0.0087	0.6672683	-0.2608986	0.0062
2019	8	22	2019	8	28	0.0089	0.6683648	-0.2609115	0.0076
2019	8	28	2019	9	3	-0.0040	0.6672752	-0.2609090	0.0067
2019	9	3	2019	9	9	0.0022	0.6683192	-0.2609202	0.0076
2019	9	9	2019	9	15	-0.0016	0.6673671	-0.2609165	0.0069
2019	9	15	2019	9	21	-0.0103	0.6682540	-0.2609186	0.0058
2019	9	21	2019	9	27	-0.0022	0.6673944	-0.2609142	0.0065
2019	9	27	2019	10	3	-0.0142	0.6682908	-0.2609142	0.0072
2019	10	3	2019	10	9	-0.0038	0.6674344	-0.2609223	0.0064
2019	10	9	2019	10	15	-0.0071	0.6682403	-0.2609052	0.0065
2019	10	15	2019	10	21	-0.0052	0.6672223	-0.2609106	0.0055
2019	10	21	2019	10	27	-0.0091	0.6683579	-0.2609051	0.0072
2019	10	27	2019	11	2	-0.0205	0.6671497	-0.2609010	0.0073
2019	11	2	2019	11	8	-0.0065	0.6682549	-0.2609208	0.0066
2019	11	8	2019	11	14	-0.0024	0.6673276	-0.2609138	0.0057
2019	11	14	2019	11	20	-0.0041	0.6682292	-0.2609211	0.0044
2019	11	20	2019	11	26	-0.0028	0.6673801	-0.2609151	0.0046
2019	11	26	2019	12	2	-0.0078	0.6681141	-0.2609066	0.0050
2019	12	2	2019	12	8	-0.0060	0.6673049	-0.2609150	0.0048
2019	12	8	2019	12	14	-0.0036	0.6682006	-0.2609017	0.0049
2019	12	14	2019	12	20	-0.0044	0.6672454	-0.2609062	0.0052
2019	12	20	2019	12	26	-0.0056	0.6682649	-0.2608966	0.0065
2019	12	26	2020	1	1	0.0010	0.6671823	-0.2608967	0.0059
2020	1	1	2020	1	7	-0.0044	0.6682537	-0.2609074	0.0058
2020	1	7	2020	1	13	-0.0077	0.6672037	-0.2609012	0.0069
2020	1	13	2020	1	19	-0.0036	0.6682120	-0.2609154	0.0064
2020	1	19	2020	1	25	0.0182	0.6673091	-0.2609129	0.0072
2020	1	25	2020	1	31	-0.0020	0.6682074	-0.2609098	0.0060
2020	1	31	2020	2	6	-0.0001	0.6672105	-0.2609089	0.0052
2020	2	6	2020	2	12	0.0019	0.6671512	-0.2609054	0.0059
2020	2	12	2020	2	18	-0.0016	0.6672189	-0.2609141	0.0054
2020	2	18	2020	2	24	0.0019	0.6672293	-0.2609060	0.0051
2020	2	24	2020	3	1	-0.0013	0.6671719	-0.2609085	0.0042
2020	3	1	2020	3	7	-0.0019	0.6672096	-0.2609052	0.0049
2020	3	7	2020	3	13	0.0037	0.6672057	-0.2609032	0.0056
2020	3	13	2020	3	19	-0.0055	0.6672656	-0.2609142	0.0056
2020	3	19	2020	3	25	0.0029	0.6672671	-0.2609060	0.0058
2020	3	25	2020	3	31	-0.0003	0.6671741	-0.2609165	0.0050
2020	3	31	2020	4	6	-0.0003	0.6672992	-0.2609128	0.0053
2020	4	6	2020	4	12	-0.0009	0.6671808	-0.2609133	0.0061
2020	4	12	2020	4	18	0.0103	0.6673021	-0.2609203	0.0057
2020	4	18	2020	4	24	-0.0073	0.6672556	-0.2609083	0.0057
2020	4	24	2020	4	30	-0.0067	0.6672794	-0.2609168	0.0071
2020	4	30	2020	5	6	-0.0119	0.6673188	-0.2609000	0.0070
2020	5	6	2020	5	12	0.0019	0.6671007	-0.2608987	0.0066
2020	5	12	2020	5	18	0.0040	0.6672068	-0.2609085	0.0061
2020	5	18	2020	5	24	-0.0056	0.6671921	-0.2609015	0.0071
2020	5	24	2020	5	30	0.0106	0.6672068	-0.2609182	0.0069
2020	5	30	2020	6	5	0.0034	0.6672810	-0.2609100	0.0065
2020	6	5	2020	6	11	0.0073	0.6671503	-0.2608988	0.0076
2020	6	11	2020	6	17	0.0185	0.6672371	-0.2609008	0.0073
2020	6	17	2020	6	23	0.0027	0.6671410	-0.2608917	0.0073
2020	6	23	2020	6	29	-0.0105	0.6672013	-0.2609006	0.0078
2020	6	29	2020	7	5	-0.0176	0.6672184	-0.2608927	0.0071
2020	7	5	2020	7	11	-0.0358	0.6670971	-0.2608935	0.0065
2020	7	11	2020	7	17	0.0168	0.6672380	-0.2609046	0.0076
2020	7	17	2020	7	23	-0.0022	0.6672114	-0.2608948	0.0063
2020	7	23	2020	7	29	-0.0091	0.6671222	-0.2609033	0.0064
2020	7	29	2020	8	4	0.0039	0.6673138	-0.2609039	0.0072
2020	8	4	2020	8	10	0.0015	0.6671912	-0.2609152	0.0065
2020	8	10	2020	8	16	-0.0099	0.6673335	-0.2609229	0.0064
2020	8	16	2020	8	22	-0.0035	0.6672500	-0.2609091	0.0077
2020	8	22	2020	8	28	0.0064	0.6672259	-0.2609123	0.0074
2020	8	28	2020	9	3	-0.0034	0.6673368	-0.2608983	0.0070
2020	9	3	2020	9	9	0.0013	0.6671284	-0.2608995	0.0057
2020	9	9	2020	9	15	-0.0035	0.6673397	-0.2609103	0.0059
2020	9	15	2020	9	21	-0.0042	0.6672097	-0.2609072	0.0061
2020	9	21	2020	9	27	0.0071	0.6672672	-0.2609152	0.0079
2020	9	27	2020	10	3	-0.0077	0.6672739	-0.2609099	0.0058
2020	10	3	2020	10	9	0.0110	0.6671533	-0.2609228	0.0055
2020	10	9	2020	10	15	0.0011	0.6673748	-0.2609224	0.0058
2020	10	15	2020	10	21	-0.0051	0.6671125	-0.2609157	0.0050
2020	10	21	2020	10	27	0.0014	0.6672587	-0.2609208	0.0061
2020	10	27	2020	11	2	-0.0007	0.6671629	-0.2610198	0.0057
2020	11	2	2020	11	8	0.0009	0.6671483	-0.2609025	0.0064
2020	11	8	2020	11	14	0.0032	0.6672702	-0.2609057	0.0045
2020	11	14	2020	11	20	-0.0014	0.6671495	-0.2609066	0.0058
2020	11	20	2020	11	26	0.0020	0.6673039	-0.2609130	0.0058
2020	11	26	2020	12	2	0.0044	0.6671007	-0.2609008	0.0066
2020	12	2	2020	12	8	0.0008	0.6671320	-0.2609124	0.0043
2020	12	8	2020	12	14	0.0012	0.6672617	-0.2609099	0.0040
2020	12	14	2020	12	20	-0.0016	0.6670966	-0.2613288	0.0047
2020	12	20	2020	12	26	0.0016	0.6672652	-0.2613332	0.0058
