YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR
2019	2	9	2019	2	15	-0.0155	0.7665613	-2.8803106	0.0051
2019	2	15	2019	2	21	0.0030	0.7666596	-2.8803207	0.0065
2019	2	21	2019	2	27	0.0008	0.7664616	-2.8803176	0.0061
2019	2	27	2019	3	5	-0.0006	0.7666256	-2.8803170	0.0064
2019	3	5	2019	3	11	-0.0054	0.7664389	-2.8803202	0.0053
2019	3	11	2019	3	17	-0.0005	0.7666344	-2.8803089	0.0068
2019	3	17	2019	3	23	-0.0009	0.7665853	-2.8803167	0.0042
2019	3	23	2019	3	29	0.0000	0.7666205	-2.8803115	0.0056
2019	3	29	2019	4	4	-0.0031	0.7665997	-2.8803188	0.0041
2019	4	4	2019	4	10	0.0012	0.7665382	-2.8803240	0.0065
2019	4	10	2019	4	16	-0.0015	0.7666309	-2.8803214	0.0031
2019	4	16	2019	4	22	0.0007	0.7665785	-2.8803219	0.0045
2019	4	22	2019	4	28	-0.0078	0.7665126	-2.8803052	0.0055
2019	4	28	2019	5	4	0.0002	0.7666257	-2.8803193	0.0055
2019	5	4	2019	5	10	-0.0004	0.7664599	-2.8803173	0.0068
2019	5	10	2019	5	16	-0.0001	0.7667552	-2.8803110	0.0060
2019	5	16	2019	5	22	-0.0013	0.7665118	-2.8810551	0.0053
2019	5	22	2019	5	28	-0.0059	0.7665267	-2.8810515	0.0070
2019	5	28	2019	6	3	-0.0045	0.7665588	-2.8810530	0.0053
2019	6	3	2019	6	9	0.0027	0.7665023	-2.8810449	0.0055
2019	6	9	2019	6	15	-0.0063	0.7666586	-2.8810477	0.0038
2019	6	15	2019	6	21	0.0084	0.7665220	-2.8810545	0.0046
2019	6	21	2019	6	27	-0.0149	0.7666056	-2.8810408	0.0052
2019	6	27	2019	7	3	0.0056	0.7666647	-2.8810518	0.0062
2019	7	3	2019	7	9	-0.0088	0.7665450	-2.8810491	0.0054
2019	7	9	2019	7	15	0.0088	0.7665863	-2.8810440	0.0044
2019	7	15	2019	7	21	-0.0194	0.7665604	-2.8810494	0.0038
2019	7	21	2019	7	27	-0.0049	0.7666148	-2.8810334	0.0045
2019	7	27	2019	8	2	-0.0068	0.7666433	-2.8810448	0.0062
2019	8	2	2019	8	8	-0.0007	0.7665901	-2.8810416	0.0046
2019	8	8	2019	8	14	-0.0135	0.7666361	-2.8810332	0.0049
2019	8	14	2019	8	20	-0.0003	0.7665831	-2.8810452	0.0064
2019	8	20	2019	8	26	-0.0064	0.7665705	-2.8810368	0.0044
