YYYY1	MM1	DD1	YYYY2	MM2	DD2	DSP	INC_ANG	HEAD_ANG	ERROR		
2019	2	9	2019	2	15	-0.0119	0.7665793	-2.8803106	0.0048		
2019	2	15	2019	2	21	0.0011	0.7666774	-2.8803207	0.0046		
2019	2	21	2019	2	27	0.0000	0.7664791	-2.8803176	0.0044		
2019	2	27	2019	3	5	0.0009	0.7666431	-2.8803170	0.0047		
2019	3	5	2019	3	11	-0.0029	0.7664565	-2.8803202	0.0030		
2019	3	11	2019	3	17	0.0007	0.7666523	-2.8803089	0.0031		
2019	3	17	2019	3	23	-0.0003	0.7666036	-2.8803167	0.0032		
2019	3	23	2019	3	29	-0.0002	0.7666387	-2.8803115	0.0049		
2019	3	29	2019	4	4	-0.0025	0.7666180	-2.8803188	0.0030		
2019	4	4	2019	4	10	-0.0002	0.7665605	-2.8803240	0.0040		
2019	4	10	2019	4	16	-0.0048	0.7666487	-2.8803214	0.0033		
2019	4	16	2019	4	22	0.0016	0.7665967	-2.8803219	0.0049		
2019	4	22	2019	4	28	-0.0069	0.7665344	-2.8803052	0.0033		
2019	4	28	2019	5	4	-0.0035	0.7666434	-2.8803193	0.0058		
2019	5	4	2019	5	10	-0.0055	0.7664777	-2.8803173	0.0056		
2019	5	10	2019	5	16	-0.0032	0.7667732	-2.8803110	0.0049		
2019	5	16	2019	5	22	-0.0009	0.7665342	-2.8810551	0.0055		
2019	5	22	2019	5	28	-0.0078	0.7665487	-2.8810515	0.0064		
2019	5	28	2019	6	3	-0.0033	0.7665815	-2.8810530	0.0060		
2019	6	3	2019	6	9	0.0061	0.7665197	-2.8810449	0.0049		
2019	6	9	2019	6	15	-0.0084	0.7666763	-2.8810477	0.0035		
2019	6	15	2019	6	21	0.0096	0.7665402	-2.8810545	0.0034		
2019	6	21	2019	6	27	-0.0133	0.7666237	-2.8810408	0.0034		
2019	6	27	2019	7	3	0.0023	0.7666829	-2.8810518	0.0072		
2019	7	3	2019	7	9	-0.0084	0.7665624	-2.8810491	0.0042		
2019	7	9	2019	7	15	0.0105	0.7666042	-2.8810440	0.0036		
2019	7	15	2019	7	21	-0.0174	0.7665833	-2.8810494	0.0044		
2019	7	21	2019	7	27	-0.0058	0.7666334	-2.8810334	0.0036		
