YYYY MM DD       X              Y                Z          mX       mY     mZ
2019 2 11 3890988.0046995 1300010.5941230 4867786.5862111 0.00037 0.00019 0.00045
2019 2 12 3890988.0048765 1300010.5956786 4867786.5889138 0.00046 0.00022 0.00053
2019 2 13 3890988.0024887 1300010.5925926 4867786.5859861 0.00040 0.00019 0.00048
2019 2 14 3890988.0034042 1300010.5933583 4867786.5861906 0.00044 0.00022 0.00052
2019 2 15 3890988.0021105 1300010.5936121 4867786.5860904 0.00036 0.00018 0.00043
2019 2 16 3890988.0044284 1300010.5936620 4867786.5876734 0.00037 0.00018 0.00044
2019 2 17 3890988.0046875 1300010.5939161 4867786.5880718 0.00040 0.00019 0.00047
2019 2 18 3890988.0047997 1300010.5937772 4867786.5881715 0.00039 0.00020 0.00046
2019 2 19 3890988.0052978 1300010.5938513 4867786.5893489 0.00041 0.00021 0.00050
2019 2 20 3890988.0032231 1300010.5943953 4867786.5878885 0.00038 0.00019 0.00046
2019 2 21 3890988.0029998 1300010.5931497 4867786.5876123 0.00046 0.00022 0.00054
2019 2 22 3890988.0006816 1300010.5926272 4867786.5856660 0.00041 0.00020 0.00048
2019 2 23 3890988.0035443 1300010.5938753 4867786.5899862 0.00048 0.00029 0.00058
2019 2 24 3890988.0017914 1300010.5938820 4867786.5878353 0.00042 0.00021 0.00049
2019 2 25 3890988.0073557 1300010.5946127 4867786.5910626 0.00040 0.00019 0.00047
2019 2 26 3890988.0051405 1300010.5942431 4867786.5892009 0.00046 0.00023 0.00055
2019 2 27 3890988.0031632 1300010.5935268 4867786.5878440 0.00041 0.00021 0.00050
2019 2 28 3890988.0022710 1300010.5926302 4867786.5844452 0.00036 0.00017 0.00043
2019 3 1 3890988.0043083 1300010.5937549 4867786.5875106 0.00042 0.00020 0.00049
2019 3 2 3890988.0030364 1300010.5929657 4867786.5860661 0.00040 0.00020 0.00047
2019 3 3 3890988.0044129 1300010.5924682 4867786.5856693 0.00038 0.00020 0.00046
2019 3 4 3890988.0044093 1300010.5912159 4867786.5871836 0.00050 0.00025 0.00057
2019 3 5 3890988.0072744 1300010.5938397 4867786.5897593 0.00044 0.00021 0.00051
2019 3 6 3890988.0036781 1300010.5925906 4867786.5868424 0.00041 0.00020 0.00048
2019 3 7 3890988.0065795 1300010.5921486 4867786.5880496 0.00034 0.00018 0.00042
2019 3 8 3890988.0055801 1300010.5930446 4867786.5872444 0.00040 0.00019 0.00047
2019 3 9 3890988.0035082 1300010.5926213 4867786.5872211 0.00043 0.00020 0.00050
2019 3 10 3890988.0041898 1300010.5932341 4867786.5852162 0.00036 0.00018 0.00042
2019 3 11 3890988.0036826 1300010.5933476 4867786.5855527 0.00036 0.00018 0.00043
2019 3 12 3890988.0022591 1300010.5914632 4867786.5849145 0.00035 0.00017 0.00041
2019 3 13 3890988.0046829 1300010.5928826 4867786.5882059 0.00037 0.00017 0.00043
2019 3 14 3890988.0043210 1300010.5927479 4867786.5870698 0.00036 0.00018 0.00043
2019 3 15 3890988.0012438 1300010.5932181 4867786.5838834 0.00041 0.00022 0.00048
2019 3 16 3890988.0016757 1300010.5922270 4867786.5844874 0.00036 0.00017 0.00042
2019 3 17 3890988.0066869 1300010.5925221 4867786.5901129 0.00056 0.00026 0.00065
2019 3 18 3890988.0044742 1300010.5925697 4867786.5879643 0.00043 0.00021 0.00051
2019 3 19 3890988.0044124 1300010.5935407 4867786.5899783 0.00051 0.00026 0.00062
2019 3 20 3890988.0020142 1300010.5913911 4867786.5885623 0.00053 0.00026 0.00063
2019 3 21 3890988.0049614 1300010.5922186 4867786.5910273 0.00054 0.00025 0.00063
2019 3 22 3890988.0020741 1300010.5927404 4867786.5882841 0.00054 0.00026 0.00064
2019 3 23 3890988.0037394 1300010.5934451 4867786.5896407 0.00036 0.00019 0.00044
2019 3 24 3890988.0019226 1300010.5921448 4867786.5887751 0.00039 0.00019 0.00046
2019 3 25 3890988.0041158 1300010.5933562 4867786.5905080 0.00040 0.00018 0.00046
2019 3 26 3890988.0011332 1300010.5933223 4867786.5887874 0.00043 0.00022 0.00048
2019 3 27 3890988.0015493 1300010.5922423 4867786.5880484 0.00036 0.00019 0.00043
2019 3 28 3890987.9991372 1300010.5925381 4867786.5868987 0.00047 0.00023 0.00055
2019 3 29 3890988.0019513 1300010.5924937 4867786.5886042 0.00049 0.00023 0.00056
2019 3 30 3890987.9996968 1300010.5917611 4867786.5858020 0.00036 0.00017 0.00042
2019 3 31 3890988.0034962 1300010.5925926 4867786.5913373 0.00044 0.00022 0.00053
2019 4 1 3890988.0014854 1300010.5919807 4867786.5906839 0.00045 0.00022 0.00053
2019 4 2 3890988.0016239 1300010.5918241 4867786.5892134 0.00041 0.00019 0.00047
2019 4 3 3890988.0004889 1300010.5915553 4867786.5877782 0.00037 0.00018 0.00044
2019 4 4 3890988.0005941 1300010.5917690 4867786.5868693 0.00036 0.00019 0.00043
2019 4 5 3890987.9996644 1300010.5916459 4867786.5875523 0.00042 0.00021 0.00050
2019 4 6 3890988.0038033 1300010.5914114 4867786.5910692 0.00044 0.00022 0.00050
2019 4 7 3890987.9991324 1300010.5922895 4867786.5871212 0.00038 0.00019 0.00045
2019 4 8 3890988.0001646 1300010.5927613 4867786.5897154 0.00045 0.00023 0.00053
2019 4 9 3890987.9995967 1300010.5922544 4867786.5874741 0.00044 0.00022 0.00052
2019 4 10 3890988.0005437 1300010.5919790 4867786.5887838 0.00051 0.00024 0.00059
2019 4 11 3890988.0000896 1300010.5923692 4867786.5916051 0.00042 0.00021 0.00049
2019 4 12 3890987.9990836 1300010.5919870 4867786.5903805 0.00040 0.00020 0.00047
2019 4 13 3890987.9950363 1300010.5906062 4867786.5840397 0.00038 0.00018 0.00045
2019 4 14 3890987.9950748 1300010.5908717 4867786.5833997 0.00044 0.00021 0.00051
2019 4 15 3890987.9966101 1300010.5917026 4867786.5859489 0.00043 0.00021 0.00051
2019 4 16 3890987.9978983 1300010.5908434 4867786.5891388 0.00049 0.00025 0.00057
2019 4 17 3890987.9963514 1300010.5902975 4867786.5863029 0.00049 0.00028 0.00058
2019 4 18 3890987.9961609 1300010.5917083 4867786.5877491 0.00051 0.00024 0.00058
2019 4 19 3890987.9934166 1300010.5907695 4867786.5846590 0.00044 0.00022 0.00051
2019 4 20 3890987.9942209 1300010.5902679 4867786.5837868 0.00053 0.00027 0.00064
2019 4 21 3890987.9917915 1300010.5902638 4867786.5844490 0.00047 0.00023 0.00055
2019 4 22 3890987.9959523 1300010.5906883 4867786.5868702 0.00051 0.00024 0.00058
2019 4 23 3890987.9930340 1300010.5912751 4867786.5845038 0.00041 0.00020 0.00049
2019 4 24 3890987.9936794 1300010.5907554 4867786.5855673 0.00049 0.00026 0.00058
2019 4 25 3890987.9918552 1300010.5895944 4867786.5826711 0.00052 0.00025 0.00061
2019 4 26 3890987.9925508 1300010.5898876 4867786.5833552 0.00054 0.00025 0.00061
2019 4 27 3890987.9916664 1300010.5908895 4867786.5825484 0.00049 0.00024 0.00057
2019 4 28 3890987.9885298 1300010.5909502 4867786.5812660 0.00050 0.00029 0.00061
2019 4 29 3890987.9895540 1300010.5905101 4867786.5847906 0.00056 0.00027 0.00066
2019 4 30 3890987.9881189 1300010.5905500 4867786.5806808 0.00060 0.00028 0.00068
2019 5 1 3890987.9880126 1300010.5889766 4867786.5800431 0.00054 0.00027 0.00063
2019 5 2 3890987.9926668 1300010.5901405 4867786.5829761 0.00045 0.00023 0.00054
2019 5 3 3890987.9853277 1300010.5888234 4867786.5774867 0.00056 0.00027 0.00065
2019 5 4 3890987.9907861 1300010.5894698 4867786.5826452 0.00046 0.00021 0.00052
