YYYY	MM	DD	DSP	INC_ANG	HEAD_ANG	ERROR
2018	7	1	0.0000	0.61871922	3.361486686	0.0059
2018	7	7	0.0011	0.61871922	3.361486686	0.0059
2018	7	13	-0.0021	0.61871922	3.361486686	0.0059
2018	7	19	0.0005	0.61871922	3.361486686	0.0059
2018	7	25	0.0048	0.61871922	3.361486686	0.0059
2018	7	31	-0.0045	0.61871922	3.361486686	0.0059
2018	8	6	-0.0064	0.61871922	3.361486686	0.0059
2018	8	12	-0.0054	0.61871922	3.361486686	0.0059
2018	8	18	-0.0069	0.61871922	3.361486686	0.0059
2018	8	24	-0.0029	0.61871922	3.361486686	0.0059
2018	8	30	-0.0026	0.61871922	3.361486686	0.0059
2018	9	5	-0.0053	0.61871922	3.361486686	0.0059
2018	9	11	-0.0136	0.61871922	3.361486686	0.0059
2018	9	17	-0.0018	0.61871922	3.361486686	0.0059
2018	9	23	-0.0130	0.61871922	3.361486686	0.0059
2018	9	29	-0.0106	0.61871922	3.361486686	0.0059
2018	10	5	-0.0165	0.61871922	3.361486686	0.0059
2018	10	11	-0.0139	0.61871922	3.361486686	0.0059
2018	10	17	-0.0164	0.61871922	3.361486686	0.0059
2018	10	29	-0.0156	0.61871922	3.361486686	0.0059
2018	11	4	-0.0183	0.61871922	3.361486686	0.0059
2018	11	10	-0.0119	0.61871922	3.361486686	0.0059
2018	11	16	-0.0223	0.61871922	3.361486686	0.0059
2018	11	22	-0.0208	0.61871922	3.361486686	0.0059
2018	11	28	-0.0193	0.61871922	3.361486686	0.0059
2018	12	4	-0.0224	0.61871922	3.361486686	0.0059
2018	12	10	-0.0233	0.61871922	3.361486686	0.0059
2018	12	16	-0.0229	0.61871922	3.361486686	0.0059
2018	12	22	-0.0242	0.61871922	3.361486686	0.0059
2018	12	28	-0.0249	0.61871922	3.361486686	0.0059
2019	1	3	-0.0268	0.61871922	3.361486686	0.0059
2019	1	21	-0.0290	0.61871922	3.361486686	0.0059
2019	1	27	-0.0252	0.61871922	3.361486686	0.0059
2019	2	2	-0.0256	0.61871922	3.361486686	0.0059
2019	2	8	-0.0305	0.61871922	3.361486686	0.0059
2019	2	14	-0.0322	0.61871922	3.361486686	0.0059
2019	2	20	-0.0333	0.61871922	3.361486686	0.0059
2019	2	26	-0.0367	0.61871922	3.361486686	0.0059
2019	3	4	-0.0351	0.61871922	3.361486686	0.0059
2019	3	10	-0.0339	0.61871922	3.361486686	0.0059
2019	3	16	-0.0370	0.61871922	3.361486686	0.0059
2019	3	22	-0.0413	0.61871922	3.361486686	0.0059
2019	3	28	-0.0381	0.61871922	3.361486686	0.0059
2019	4	3	-0.0375	0.61871922	3.361486686	0.0059
2019	4	9	-0.0399	0.61871922	3.361486686	0.0059
2019	4	15	-0.0428	0.61871922	3.361486686	0.0059
2019	4	21	-0.0459	0.61871922	3.361486686	0.0059
2019	4	27	-0.0456	0.61871922	3.361486686	0.0059
2019	5	3	-0.0336	0.61871922	3.361486686	0.0059
2019	5	9	-0.0448	0.61871922	3.361486686	0.0059
2019	5	15	-0.0491	0.61871922	3.361486686	0.0059
2019	5	21	-0.0528	0.61871922	3.361486686	0.0059
2019	5	27	-0.0377	0.61871922	3.361486686	0.0059
2019	6	2	-0.0418	0.61871922	3.361486686	0.0059
2019	6	8	-0.0422	0.61871922	3.361486686	0.0059
2019	6	14	-0.0487	0.61871922	3.361486686	0.0059
2019	6	20	-0.0525	0.61871922	3.361486686	0.0059
2019	7	8	-0.0427	0.61871922	3.361486686	0.0059
