YYYY	MM	DD	DSP	INC_ANG	HEAD_ANG	ERROR					
2018	6	25	0.0000	0.618823296	3.327694483	0.0040					
2018	7	1	0.0015	0.618823296	3.327694483	0.0040					
2018	7	7	-0.0013	0.618823296	3.327694483	0.0040					
2018	7	13	-0.0031	0.618823296	3.327694483	0.0040					
2018	7	19	-0.0035	0.618823296	3.327694483	0.0040					
2018	7	25	-0.0015	0.618823296	3.327694483	0.0040					
2018	7	31	0.0017	0.618823296	3.327694483	0.0040					
2018	8	6	-0.0012	0.618823296	3.327694483	0.0040					
2018	8	12	-0.0007	0.618823296	3.327694483	0.0040					
2018	8	18	0.0008	0.618823296	3.327694483	0.0040					
2018	8	24	-0.0009	0.618823296	3.327694483	0.0040					
2018	8	30	-0.0011	0.618823296	3.327694483	0.0040					
2018	9	5	-0.0009	0.618823296	3.327694483	0.0040					
2018	9	11	-0.0041	0.618823296	3.327694483	0.0040					
2018	9	17	-0.0023	0.618823296	3.327694483	0.0040					
2018	9	23	-0.0051	0.618823296	3.327694483	0.0040					
2018	9	29	-0.0027	0.618823296	3.327694483	0.0040					
2018	10	5	-0.0053	0.618823296	3.327694483	0.0040					
2018	10	11	-0.0042	0.618823296	3.327694483	0.0040					
2018	10	17	-0.0065	0.618823296	3.327694483	0.0040					
2018	10	23	-0.0058	0.618823296	3.327694483	0.0040					
2018	10	29	-0.0065	0.618823296	3.327694483	0.0040					
2018	11	4	-0.0078	0.618823296	3.327694483	0.0040					
2018	11	10	-0.0086	0.618823296	3.327694483	0.0040					
2018	11	16	-0.0089	0.618823296	3.327694483	0.0040					
2018	11	22	-0.0069	0.618823296	3.327694483	0.0040					
2018	11	28	-0.0093	0.618823296	3.327694483	0.0040					
2018	12	4	-0.0059	0.618823296	3.327694483	0.0040					
2018	12	10	-0.0087	0.618823296	3.327694483	0.0040					
2018	12	16	-0.0092	0.618823296	3.327694483	0.0040					
2018	12	22	-0.0079	0.618823296	3.327694483	0.0040					
2018	12	28	-0.0078	0.618823296	3.327694483	0.0040					
2019	1	3	-0.0107	0.618823296	3.327694483	0.0040					
2019	1	9	-0.0124	0.618823296	3.327694483	0.0040					
2019	1	15	-0.0140	0.618823296	3.327694483	0.0040					
2019	1	21	-0.0104	0.618823296	3.327694483	0.0040					
2019	1	27	-0.0122	0.618823296	3.327694483	0.0040					
2019	2	2	-0.0095	0.618823296	3.327694483	0.0040					
2019	2	8	-0.0118	0.618823296	3.327694483	0.0040					
2019	2	14	-0.0139	0.618823296	3.327694483	0.0040					
2019	2	20	-0.0152	0.618823296	3.327694483	0.0040					
2019	2	26	-0.0153	0.618823296	3.327694483	0.0040					
2019	3	4	-0.0166	0.618823296	3.327694483	0.0040					
2019	3	10	-0.0187	0.618823296	3.327694483	0.0040					
2019	3	16	-0.0180	0.618823296	3.327694483	0.0040					
2019	3	22	-0.0181	0.618823296	3.327694483	0.0040					
2019	3	28	-0.0167	0.618823296	3.327694483	0.0040					
2019	4	3	-0.0188	0.618823296	3.327694483	0.0040					
2019	4	9	-0.0190	0.618823296	3.327694483	0.0040					
2019	4	15	-0.0202	0.618823296	3.327694483	0.0040					
2019	4	21	-0.0219	0.618823296	3.327694483	0.0040					
2019	4	27	-0.0246	0.618823296	3.327694483	0.0040					
2019	5	3	-0.0260	0.618823296	3.327694483	0.0040					
2019	5	9	-0.0251	0.618823296	3.327694483	0.0040					
2019	5	15	-0.0274	0.618823296	3.327694483	0.0040					
2019	5	21	-0.0261	0.618823296	3.327694483	0.0040					
2019	5	27	-0.0297	0.618823296	3.327694483	0.0040					
2019	6	2	-0.0315	0.618823296	3.327694483	0.0040					
2019	6	8	-0.0366	0.618823296	3.327694483	0.0040					
2019	6	14	-0.0377	0.618823296	3.327694483	0.0040					
2019	6	20	-0.0466	0.618823296	3.327694483	0.0040					
2019	6	26	-0.0486	0.618823296	3.327694483	0.0040					
2019	7	8	-0.0570	0.618823296	3.327694483	0.0040					
2019	7	14	-0.0639	0.618823296	3.327694483	0.0040
